# gpu_launches.csv — one row per queue LAUNCH. DERIVED AND REGENERABLE: every run of
# `py -3.12 pipeline/cost_report.py --launches` overwrites this file wholesale. Do not
# hand-edit it (the one exception is `measured_cu_delta`, see below, and a hand-filled
# value there WILL be lost on the next run until it is carried into a rate row).
#
# NOT the authoritative launch record. That is the CHATLOG launch line each launch must
# carry — OVERHAUL_PLAN_2026-08-20.md P11.5 rule 2: "every launch writes a run manifest
# (now with `git_branch`, `gpu`, `gpu_mem_gb`) and a CHATLOG line with tier, start time,
# expected hours". This table is a HARVEST of the artefacts those launches left behind
# (per-launch status CSVs + the queue's nohup log header); the prose log wins on conflict.
#
# TIMES: filename stamps (UTC) and status-row `ts` only. Drive mtimes are never read.
#
# COLUMN DEFINITIONS
#   launch_id      UTC stamp parsed from the status filename (the moment the queue started).
#   queue_file     the queue YAML, reconstructed from the same filename.
#   gpu_name       from the matching nohup log's "GPU : <name>, <MiB>" header line; BLANK
#                  if no log or no such line. BLANK means UNKNOWN, never "free".
#   first_step_ts  ts of the earliest non-VERIFY row (a step START).
#   last_row_ts    ts of the latest row of any kind in the file.
#   span_min       last_row_ts - first_step_ts. A LOWER BOUND on billable VM uptime: it
#                  begins after VM setup/clone/pip and ends at the last row written, so a
#                  step still RUNNING when the VM died contributes none of its own time.
#   sum_step_min   sum of the `minutes` column over ALL non-VERIFY, non-SEEDED rows,
#                  retries included (a retried step burns the GPU twice and is billed twice).
#   coverage_pct   100 * sum_step_min / span_min. THE HONESTY DIAL: it says how much of the
#                  observed window the engine can account for. May read slightly over 100%
#                  from the queue's 0.1-min rounding (measured: 18.3 vs an 18.27-min span);
#                  it is NOT clamped, because clamping would hide the rounding.
#   n_steps        distinct (job, step) pairs among non-VERIFY, non-SEEDED rows.
#   n_ok / n_failed  by each pair's LAST row: n_ok = final state OK; n_failed = final state
#                  neither OK nor RUNNING. A pair still RUNNING counts in n_steps but in
#                  NEITHER of the others — the VM died and nothing ever closed the row.
#   measured_cu_delta  ALWAYS BLANK here. The compute-unit balance before/after a launch is
#                  the only thing that can settle a bill, and only Kam can read it. Fill it
#                  by hand, then promote it into pipeline/colab_rates.csv as a MEASURED row.
#   est_cu/est_usd BLANK unless pipeline/colab_rates.csv has a row matching gpu_name. It
#                  ships with ZERO GPU rate rows on purpose (no sourced rate exists in this
#                  repo), so today every GPU launch here is blank — correctly.
#   est_basis      why the cost columns say what they say (which rate matched, or why none did).
#   est_label      the standing caveat: ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
launch_id,queue_file,gpu_name,first_step_ts,last_row_ts,span_min,sum_step_min,coverage_pct,n_steps,n_ok,n_failed,measured_cu_delta,est_cu,est_usd,est_basis,est_label
20260825T055323Z,queue_sectors_base2020.yaml,NVIDIA A100-SXM4-40GB,2026-08-25 05:53:23,2026-08-25 06:18:31,25.1,25.1,99.9,6,6,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260825T061928Z,queue_sectors_fullext.yaml,NVIDIA A100-SXM4-40GB,2026-08-25 06:19:30,2026-08-25 06:28:10,8.7,8.6,99.2,3,2,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260825T221901Z,queue_sectors_fullext.yaml,NVIDIA A100-SXM4-40GB,2026-08-25 22:19:13,2026-08-26 00:04:06,104.9,104.5,99.6,8,8,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260826T142501Z,queue_noise_2021s.yaml,NVIDIA A100-SXM4-40GB,2026-08-26 14:27:03,2026-08-26 18:23:47,236.7,235.0,99.3,11,10,1,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260826T152734Z,queue_nir_m06.yaml,,2026-08-26 15:27:47,2026-08-26 15:31:41,3.9,3.9,100.0,2,1,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260826T171445Z,queue_nir_m06.yaml,NVIDIA A100-SXM4-40GB,2026-08-26 17:15:56,2026-08-27 00:16:52,420.9,420.7,99.9,9,9,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260826T185246Z,queue_noise_2021s_b.yaml,NVIDIA A100-SXM4-40GB,2026-08-26 18:53:43,2026-08-27 02:36:50,463.1,460.6,99.5,20,20,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260826T190350Z,queue_golden_v2.yaml,NVIDIA L4,2026-08-26 19:05:34,2026-08-26 19:39:53,34.3,34.3,100.0,5,5,0,,,,no rate row in colab_rates.csv matches 'NVIDIA L4' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T002202Z,queue_poc_a.yaml,,2026-08-27 00:23:55,2026-08-27 03:34:37,190.7,190.6,99.9,7,6,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T041357Z,queue_poc_b.yaml,,2026-08-27 04:14:52,2026-08-27 06:30:52,136.0,135.9,99.9,11,10,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T053701Z,queue_poc_a.yaml,NVIDIA A100-SXM4-40GB,2026-08-27 05:40:01,2026-08-27 06:54:55,74.9,74.7,99.7,6,6,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T084208Z,queue_poc_b.yaml,NVIDIA A100-SXM4-40GB,2026-08-27 08:43:57,2026-08-27 08:43:57,0.0,0.0,,0,0,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T091545Z,queue_poc_b.yaml,,2026-08-27 09:50:56,2026-08-27 09:50:56,0.0,0.0,,1,0,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T130047Z,queue_poc_b.yaml,,2026-08-27 13:01:54,2026-08-27 13:01:54,0.0,0.0,,0,0,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T160147Z,queue_poc_b.yaml,NVIDIA A100-SXM4-40GB,2026-08-27 16:02:55,2026-08-27 17:01:54,59.0,59.0,100.0,2,2,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T212337Z,queue_groves_nolidar.yaml,,2026-08-27 21:24:02,2026-08-27 21:54:53,30.9,30.8,99.8,3,2,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T212347Z,queue_groves_lidar.yaml,,2026-08-27 21:25:01,2026-08-27 22:05:30,40.5,40.5,100.0,3,2,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T230951Z,queue_groves_nolidar.yaml,NVIDIA A100-SXM4-40GB,2026-08-27 23:10:53,2026-08-28 00:37:35,86.7,86.7,100.0,2,2,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260827T231044Z,queue_groves_lidar.yaml,NVIDIA A100-SXM4-40GB,2026-08-27 23:11:35,2026-08-28 00:47:28,95.9,95.9,100.0,2,2,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260828T014857Z,queue_hybrid_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-28 01:50:53,2026-08-28 03:41:29,110.6,110.6,100.0,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260828T145940Z,queue_node_b_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-28 15:01:52,2026-08-28 17:24:32,142.7,140.2,98.3,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T010837Z,queue_corrupt10_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 01:09:54,2026-08-29 03:03:36,113.7,113.5,99.8,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T010950Z,queue_corrupt25_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 01:12:37,2026-08-29 01:52:35,40.0,153.8,384.8,3,2,1,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T032240Z,queue_corrupt50_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 03:23:56,2026-08-29 05:26:59,123.0,121.7,98.9,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T040358Z,queue_node_c_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 04:07:56,2026-08-29 06:51:01,163.1,162.9,99.9,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T061042Z,queue_corrupt25_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 06:11:39,2026-08-29 07:55:40,104.0,104.0,100.0,2,2,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T075444Z,queue_chm2_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 07:55:50,2026-08-29 09:43:43,107.9,107.0,99.2,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T080247Z,queue_seed1234_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 08:03:59,2026-08-29 10:28:49,144.8,144.8,100.0,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T094848Z,queue_nodeb_ep60.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 09:51:41,2026-08-29 11:09:01,77.3,76.5,98.9,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T103928Z,queue_seed777_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 10:43:57,2026-08-29 11:58:35,74.6,74.5,99.8,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T111653Z,queue_nodec_rep.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 11:21:31,2026-08-29 12:47:03,85.5,84.6,98.9,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T121645Z,queue_nodeb_seed_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 12:18:53,2026-08-29 13:35:28,76.6,76.3,99.6,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T133042Z,queue_nodec_s3_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 13:33:53,2026-08-29 13:37:51,4.0,11.9,300.0,2,1,1,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T135750Z,queue_smooth_2009.yaml,,2026-08-29 14:04:52,2026-08-29 14:17:52,13.0,13.0,100.0,2,1,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T140757Z,queue_smooth_2009.yaml,,2026-08-29 14:10:54,2026-08-29 14:18:58,8.1,8.1,100.4,2,1,0,,,,gpu_name UNKNOWN (no nohup header line) — cost BLANK by design,ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T142955Z,queue_smooth_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 14:37:03,2026-08-29 15:53:57,76.9,75.9,98.7,3,3,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T142958Z,queue_nodec_s3_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 14:35:54,2026-08-29 16:01:45,85.8,87.9,102.4,3,2,1,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T150959Z,queue_nodecW_2009.yaml,NVIDIA L4,2026-08-29 15:13:46,2026-08-29 17:54:42,160.9,160.4,99.7,8,8,0,,,,no rate row in colab_rates.csv matches 'NVIDIA L4' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
20260829T161155Z,queue_ep60_rep_2009.yaml,NVIDIA A100-SXM4-40GB,2026-08-29 16:15:50,2026-08-29 17:20:00,64.2,64.0,99.7,4,4,0,,,,no rate row in colab_rates.csv matches 'NVIDIA A100-SXM4-40GB' (no sourced rate exists),ESTIMATE (lower bound: span starts at first step; excludes VM setup/staging/teardown/idle)
