"field","mechanism","one_directional","licensing_evidence","stated_bound_or_rate","ground_truth_needed","feasible_at_2k_labels","skeptic_verdict","citation","url"
"2 video semantic segmentation","M3 boundary label relaxation - decline to assert a class where propagation is unreliable","partial","any pixel with a differently-labelled neighbour is untrusted; transposed: a 255-band of width p95 registration offset around every 0/1 transition","no bound; 'best performance is achieved at ±3 with an improvement of 0.81% mIoU (80.54% -> 81.35%)'; false-correction rate not reported","none to apply; a panel only to show recall is not lost","yes - cheapest item in the field; under binary canopy the relaxed loss reduces to IGNORE","not adjudicated (finder label LEAD)","Zhu et al. 2019 CVPR Sec. 3.4 Eq. 5","https://arxiv.org/abs/1812.01593"
"2 video semantic segmentation","M4 forward-backward (round-trip) correspondence consistency as a refusal gate","yes","the correspondence's own self-consistency: Sundaram Eq. 5 |w+w_hat|^2 < 0.01(|w|^2+|w_hat|^2)+0.5; Luo: round-trip error > 1 px removed, pairs under 20% coverage excluded; Xu eps=5","no bound stated; BUT Sundaram p.11/Table 5 reports a MEASURED occlusion error of 3% (LDOF) and tracking density 48% on MIT human annotation (finder missed it)","none to run; a locally mis-registered pair to mutation-test - impossible under a 6-DOF global transform","no - effective sample size is the number of year-pairs (<=35); at measured registration the residual is ~7 orders of magnitude below threshold for every crown","REFUTED as a per-crown gate. w+w_hat=(NM-I)p+(Nb+c) is affine in position with no per-crown content; passes by ~6,200x in the norm; Eq. 6 exactly degenerate under a global affine; refusal routes to another writer in all three sources; MEASURED-RATE in the source (3%/48%), STRUCTURAL-ONLY as transposed; Luo's pair-level 20% rule survives as LEAD","Sundaram, Brox & Keutzer 2010 ECCV; Luo et al. 2020 SIGGRAPH; Xu et al. 2019 CVPR","https://doi.org/10.1007/978-3-642-15549-9_32"
"2 video semantic segmentation","M5 occlusion-masked temporal consistency loss + warp-IoU TC metric","no","soft photometric agreement weight V=exp(-|I_t - I_hat_{t+k}|); squared error between class probabilities","no bound; Table 1 baseline 69.79 mIoU / 68.50 TC -> 73.06 / 70.56; TC rewards a constant predictor (ClockNet 71.2 TC at 67.7 mIoU)","for the split diagnostic: the existing loss + no-change panel","yes for the split diagnostic (re-scoring only); the loss itself is directionally wrong","not adjudicated (finder label LEAD)","Liu, Shen, Yu & Wang 2020 ECCV; Ding 2020 AAAI; Gadde 2017 ICCV","https://arxiv.org/abs/2002.11433"
"2 video semantic segmentation","M6 fill-only propagation into an exogenous hole mask (video inpainting)","yes","hole membership (supplied from outside) + a round-trip flow validity check; nothing decides whether a pixel should be in the hole","none; PSNR 28.26 on DAVIS with SYNTHETIC holes; a false-fill rate is undefinable under that protocol","verified panel scored against the healing MASK emitted as a standalone artefact before any label is written","yes - scoring a sparse mask at ~1,212 points","not adjudicated (finder label LEAD)","Xu, Li, Zhou, Liu, Loy & Lin 2019 CVPR","https://arxiv.org/abs/1905.02884"
"2 video semantic segmentation","M7 memory-matched re-identification after disappearance (VOS memory networks)","no","appearance-feature similarity to a stored memory; no explicit gate","no bound; MOSEv2: 'J&F_r scores ranging only from 7.8% to 34.9%'; Cutie J&F_d 64.5% / J&F_r 18.3%","two disjoint panels: verified losses (must not fill) and verified flickers (should fill), excluding crown-years adjacent to 2020","yes for the evaluation split (re-partitions existing labels); n=42 caps the demonstrable laundering rate at ~7%","not adjudicated (finder label REJECT)","Oh et al. 2019 ICCV (STM); Cheng & Schwing 2022 ECCV (XMem); MOSEv2 2025 arXiv:2508.05630","https://arxiv.org/pdf/2508.05630"
"2 video semantic segmentation","M8 temporal ensembling across training epochs","no","agreement of a network with its own outputs at earlier epochs; no time axis","none stated; SVHN 500 labels 18.44% -> 7.05% error (abstract only)","standard SSL labelled/unlabelled splits","n/a - not a time-series method","not adjudicated (finder label REJECT)","Laine & Aila 2017 ICLR (abstract only)","https://arxiv.org/abs/1610.02242"
"3 interval-censored survival / monotone regression","M1 clip the isotonic estimate to [1-specificity, sensitivity], then de-bias linearly","partial","observed absent-fraction curve G(t) plus KNOWN constant accuracy (alpha, beta): Eq. (3) '1-beta <= G(c1) <= ... <= G(cn) <= alpha'; z_m=min(max(z_hat_m,1-beta),alpha); F_hat=(G_hat-1+beta)/(alpha+beta-1)","a constraint region and closed form, no rate; the theorem assumes alpha, beta constant over time and > 0.5","per-class recall beta_t (n >~ 250 per class for ±0.05) and crown-level alpha (from the 42 losses, SE 0.046)","yes to estimate beta for ~5 classes (~1,250 labels), one interval; no as a gate","REFUTED as proposed. Per-year clip breaks the uniqueness proof; PAVA in G-space is the wrong space (coarse-then-fine example: truth F=(0.10,0.10) returns (0.000,0.266)); Step-6 gate has ZERO anchors and inverted polarity (can only reduce estimated loss); current-status estimator discards the within-crown sequence; F-space per-year debias survives as a population audit statistic (LEAD); constant-(alpha,beta) estimator FORMAL-BOUND, extension DESIGN-ONLY","McKeown & Jewell 2010 Lifetime Data Analysis 16:215-230 (PMC9150792); de Leeuw, Hornik & Mair 2009 JSS 32(5)","https://doi.org/10.1007/s10985-010-9154-0"
"3 interval-censored survival / monotone regression","M2 sequential imperfect-test mixture likelihood over candidate event intervals (per-crown posterior)","no","the full per-unit reading sequence plus supplied sensitivity/specificity; Eq. 2.1 sums over candidate intervals with per-visit reading probabilities as factors","none stated; Table 1 simulation: unadjusted 'Bias -90.2', 'Coverage 0.0' vs adjusted 'Bias -6.7', '93.8%' at phi1=1.00, phi0=0.75; phi's 'assumed known constants', cannot be jointly estimated","per-class recall, false-canopy rate, prior removal-time distribution; permanent-event model (coppice return is a violation)","yes to estimate phi; no for end-to-end validation at more than one interval","not adjudicated (finder label LEAD)","Gu, Ma & Balasubramanian 2015 Annals of Applied Statistics 9(2):714 (PMC4729390); Balasubramanian & Lagakos 2003 Biometrika (abstract)","https://doi.org/10.1214/15-AOAS810"
"3 interval-censored survival / monotone regression","M3 plain Turnbull / NPMLE interval censoring on raw readings (null baseline only)","no","the bracketing interval (last-negative, first-positive] only; readings assumed correct","optimisation guarantee only; naive First-Diag 'bias -.372 coverage .033' vs accuracy-aware 'Bias = 0.011, Coverage 94.6%' (terminal-event paper Table 1)","the 1,170 no-change points, to score fabricated removals under first-absent-defines-removal","yes as a free null baseline","not adjudicated (finder label REJECT)","Turnbull 1976 JRSSB 38:290 (abstract); Wang et al. 2025 PMC13004487 (full text)","https://doi.org/10.1111/j.2517-6161.1976.tb01597.x"
"3 interval-censored survival / monotone regression","M4 penalised change-point segmentation with a hard minimum segment length (PELT / ruptures min_size)","no","the binary sequence plus a penalty and a length floor; no error model; every acquisition counts as one sample regardless of GSD","computational optimality only ('linear in the number of observations'); no bound on false or missed change points","none to run; 42 verified losses too few to calibrate the floor","runs free; calibration not feasible","not adjudicated (finder label LEAD)","Killick, Fearnhead & Eckley 2012 JASA (arXiv:1101.1438); Truong, Oudre & Vayatis 2020 / ruptures docs","https://arxiv.org/abs/1101.1438"
"3 interval-censored survival / monotone regression","M5 multiscale change-point estimator with controlled over/under-counting of changes (SMUCE)","no","the sequence plus a multiscale test level alpha","'The probability of overestimating the true number of change points K is controlled...'; 'exponential bounds for the probability of underestimating K' - the only explicit two-sided bound in the field; exponential-family regression, asymptotic in n (n=36 here)","verified no-change panel (fabrication side) and verified loss panel (erasure side); pre-register alpha","yes for no-change (1,170 -> ±1.5%); marginal for losses (42 -> ~±7 pp)","not adjudicated (finder label LEAD)","Frick, Munk & Sieling 2014 JRSSB 76(3):495","https://doi.org/10.1111/rssb.12047"
"3 interval-censored survival / monotone regression","M6 estimate test accuracy from a validation subsample; accuracy is non-identifiable without one","no","reading sequence plus a subset with known truth (the 'perfect diagnostic test' subsample)","a negative result: 'one cannot estimate the test accuracy parameters accurately without the validation data, especially when the test accuracy is low'","per-class hand labels; assumes the labelled subset is exchangeable with the class (extrapolation to 1990 not covered)","yes - the most label-efficient use of the budget; only for classes inside the 2016-2024 gold window","not adjudicated (finder label LEAD)","Chen & Wang 2026 Statistical Methods in Medical Research (PMC13478427); Biometrika 103(4):801 (PMC5793678)","https://doi.org/10.1177/09622802261456076"
"4 HMM / state-space smoothing","M1 posterior-marginal smoothing with classifier-posterior emissions and a sticky transition prior","no","per-year classifier posterior P(w|x)/P(w) as emission + a hand-set rare-change prior","no bound; 'proportion of illogical transition ... 29.44% ... reduce to about 2.6%' scored on the criterion the model's own matrix defines; gold had changed locations culled","per-year reference points with change deliberately excluded (in the source); the flip-count histogram needs no gold","yes for the flip-count histogram; no for the accuracy claim","not adjudicated (finder label LEAD)","Gong, Fang, Yang & Ge 2017 ISPRS Int. J. Geo-Inf. 6(10):292; mtlchmm implementation","https://doi.org/10.3390/ijgi6100292"
"4 HMM / state-space smoothing","M2 misclassification HMM with fixed emission zeros, covariate link on the miss rate, exactly-observed anchor steps (msm)","partial","full observed sequence + fixed/known misclassification structure: 'some of the e_rs may be fixed to reflect knowledge of the diagnosis process'; misccovariates Eq. (10); obstrue; censor = IGNORE","none on false corrections; fixing e_01=0 makes an observed 1 unbreakable (one anchor where the project needs two)","per-year miss rate by covariate from the recall panel (not the 2020 labels) + one exactly-observed year; regain rate p_01 is the weak term","yes for the logistic miss-rate fit (hundreds of panel points); marginal for p_01","not adjudicated (finder label LEAD)","Jackson, msm manual v1.8.2 Sec. 1.6.1; Jackson & Sharples 2002 Stat Med 21:113; JSS 38(8)","https://cran.r-project.org/web/packages/msm/vignettes/msm-manual.pdf"
"4 HMM / state-space smoothing","M3 Viterbi training of emission + transition from the unlabelled map stack","no","the classified map stack itself; 2020 labels only break the state-name permutation","'can be estimated with low biases and variances thanks to the vast number (hundreds of thousands) of pixels'; abstract frames removal of change as the goal; full text unreadable (>10 MB)","none for fitting; one labelled epoch to fix state identity","yes, but Viterbi training can drive the loss transition toward zero and absorb every verified removal","not adjudicated (finder label LEAD)","Bogaert, Lamarche & Defourny 2022 IEEE TGRS 60:1-14 (abstract via UCLouvain DIAL)","https://research.dial.uclouvain.be/handle/2078.5/240783"
"4 HMM / state-space smoothing","M4 marginal (forward-backward) vs Viterbi MAP decoding, and their disagreement set","no","whole-sequence posterior gamma_t(i) (Eqs. 26-29); disagreement between argmax gamma_t and the MAP path","'This optimality criterion maximizes the expected number of correct individual states'; no rate","none to produce the flagged set; labels only on flagged units","yes - highest label efficiency in this field","not adjudicated (finder label LEAD)","Rabiner 1989 Proc. IEEE 77(2):257-286","https://web.ece.ucsb.edu/Faculty/Rabiner/ece259/Reprints/tutorial%20on%20hmm%20and%20applications.pdf"
"4 HMM / state-space smoothing","M5 partially hidden Markov model: alpha-weighted likelihood for sparsely labelled time steps","no","the labelled subset plus the full sequence; w_alpha(z_t)=1 if labelled, alpha if not (Eq. 10-11)","'if alpha = 0 ... identical to ... an HMM that treats all unlabelled observations as totally missing'; Gassiat 2013: identifiable up to permutation with full-rank transition and linearly independent emissions","one labelled epoch (permutation-breaking) + the covariate panel; CV needs >1 labelled step","yes for the theory; the CV protocol cannot run with one labelled year","not adjudicated (finder label LEAD)","Sidrow et al. 2024 arXiv:2409.18091; Gassiat, Cleynen & Robin 2013 (abstract)","https://arxiv.org/abs/2409.18091"
"4 HMM / state-space smoothing","M6 perfect-specificity misclassification model with an informative prior on the miss rate","yes","screening sequence + assumed zero false positives; kappa = Pr(y=1 | y*=1)","'a fully uninformative prior ... can lead to ... non-convergence, multi-modality of the posterior, and bias in kappa'; monotone latent process (no reversal)","a panel value for the miss rate to serve as the prior; the two-fit identifiability check needs no new labels","yes - zero labels for the check","not adjudicated (finder label LEAD)","Klausch, Lissenberg-Witte & Coupe 2026 Statistics in Medicine 45(8-9):e70433 (PMC13054642)","https://pmc.ncbi.nlm.nih.gov/articles/PMC13054642/"
"5 label-noise correction / PU learning","M1 confident-joint flag-and-prune (confident learning)","no","out-of-sample p_hat above a per-class self-confidence threshold t_j; class-conditional noise 'depending only on the latent true class, not the data'","Theorem 1 exact recovery under ideal probabilities; human validation: '51% of the algorithmically-flagged candidates are indeed erroneously labeled' (49% false-flag)","human re-adjudication of flagged items; the class-thresholded COUNT survives as a per-year miss budget","no for pruning (49% false-flag rate); yes for validating the count","not adjudicated (finder label REJECT)","Northcutt, Jiang & Chuang 2021 JAIR 70; Northcutt, Athalye & Mueller 2021 NeurIPS D&B","https://doi.org/10.1613/jair.1.12125"
"5 label-noise correction / PU learning","M2 asymmetric-noise loss correction (labels never edited)","yes","a per-stratum flip-rate pair (rho_+1 miss, rho_-1 false alarm); Lemma 1 unbiased surrogate; Lemma 7 implied threshold (1/2-rho_-1)/(1-rho_+1-rho_-1)","Theorem 3 risk bound with L_rho <= 2L/(1-rho_+1-rho_-1), proved for class-conditional i.i.d. flips and a per-example loss; Patrini 84.5% vs 57.6% CE at 60% asymmetric noise (finder's 53.6% corrected)","rho_+1 to ±0.05 needs n ~ 246-384 verified canopy points per stratum; rho_-1 of the PROJECTED labels (growth) in early years is unmeasured","no for (acquisition x size) strata (10,800-41,500 labels, 5-20x shortfall); yes for a few strata as a diagnostic","WEAKENED -> LEAD. Sign of the threshold shift not established (shifts DOWN if growth-driven rho_-1 exceeds rho_+1 - the opposite prescription in the oldest years); lowering a city-wide cut is a fill at every removal; Lemma 7 has ZERO anchors; with rho_-1=0 every observed absence keeps its loss unchanged; FORMAL-BOUND under violated hypotheses; the implied-threshold DIAGNOSTIC survives","Natarajan, Dhillon, Ravikumar & Tewari 2013 NeurIPS 26; Patrini et al. 2017 CVPR","https://papers.nips.cc/paper_files/paper/2013/hash/3871bd64012152bfb53fdf04b401193f-Abstract.html"
"5 label-noise correction / PU learning","M3 PU learning under SCAR: absent = unlabelled, c = P(labelled | positive) = recall","yes","p(s=1|x,y=0)=0 (no false positives) plus uniform labelling among positives; c estimated as the mean score over a held-out set of known positives","Lemma 1 p(y=1|x)=p(s=1|x)/c; c-hat 'within 0.15% of the best estimate ... using knowledge of the true labels'; sanity check g <= c fires on bad input; SCAR is measured false here (r=0.91)","a per-year panel of confirmed-canopy points only (the paper used 20)","yes - c from ~20-100 verified canopy points per year; the weight w(x)=((1-c)/c)*g/(1-g) replaces filling","not adjudicated (finder label LEAD)","Elkan & Noto 2008 KDD; Bekker & Davis 2020 Machine Learning (survey)","https://cseweb.ucsd.edu/~elkan/posonly.pdf"
"5 label-noise correction / PU learning","M4 PU learning under SAR: propensity e(x) = per-covariate detection probability; SAR-EM","yes","a fitted labelling model e(x)=Pr(s=1|y=1,x) on propensity attributes x_e (a strict subset of x); E-step y_hat = s + (1-s) f(1-e)/(1-f e)","identifiability condition only; propensity MSE 'below 0.1' on eight tabular UCI sets with four INJECTED binary propensity attributes (mushroom exception dropped by finder); Teisseyre's SCAR test controls type I error (KS)","verified recall by (crown size x GSD x season) to check e-hat; an ANCHOR SET in the survey's sense is a purely-positive subdomain, not the 42 losses","no as imputation (a gate checked against a curve from the same model cannot fail); yes for e(x) as a weight where the panel covers","REFUTED as imputation -> LEAD for the propensity formalism. E-step fills with ZERO anchors: as e-hat -> 0 the observed absence is discounted to nothing and the cell is filled from prior appearance, at real removals included; underestimated propensity INCREASES the fill (Prop. 3); 'anchor set' is a term misuse (verified negatives means not PU); injected columns -> UNVALIDATED for imagery; STRUCTURAL-OR-IDENTIFIABILITY-ONLY","Bekker, Robberechts & Davis 2019 ECML-PKDD; Teisseyre, Furmanczyk & Mielniczuk 2024 arXiv:2404.00145 (preprint)","https://arxiv.org/abs/1809.03207"
"5 label-noise correction / PU learning","M5 consistency-over-a-window refurbishment (SELFIE)","no","normalised entropy of the last q predictions <= eps (eps=0.05, q=15); the window is over training epochs","no bound; measured 'a significantly low correction error under 2%' (selective) vs 'over 20%' (entire) on CIFAR-10 with 40% injected symmetric noise","an adjudicated sample of filled cells","yes - a few hundred adjudicated fills measure a few-percent rate to ±2 pp; but crippling it to 0->1 discards the setting in which <2% was measured","not adjudicated (finder label LEAD)","Song, Kim & Lee 2019 ICML PMLR 97; Han et al. 2018 (Co-teaching, abstract)","https://proceedings.mlr.press/v97/song19b.html"
"5 label-noise correction / PU learning","M6 likelihood-ratio-gated correction with a proved bound (AdaCorr)","no","LR(f,x,y~)=f_y~(x)/f_m(x) below a threshold delta; noise independent of features","Theorem 1 Pr[y~=h*(x), f_y~(x)<Delta] <= C[O(eps)]^lambda; corrected label Bayes-optimal w.p. >= 1-C[O(max(eps,xi_1))]^lambda-Psi; constants unestimated; measured false-correction rate not reported","an adjudicated sample of filled cells per delta","yes for 2-3 delta values; no for a fine sweep","not adjudicated (finder label LEAD)","Zheng et al. 2020 ICML; Arazo et al. 2019 ICML (abstract)","https://arxiv.org/abs/2011.10077"
"5 label-noise correction / PU learning","M7 time-varying noise matrix Q_t estimated from the sequence (temporal label noise)","partial","a per-time-step noise matrix Q_t fitted jointly with the classifier via a forward temporal loss; anchor points are model-selected argmax instances (no hand labels consumed)","Proposition 1 under Future Independence and Feature Independence (the exact negation of a covariate-dependent miss rate); 'Approximation error: 10.3±3.9% for Continuous vs. 35.3% for static methods' on the moving dataset (n=192, injected noise; 35.3 = VolMinNet)","none for the estimator; validating Q_t without injected noise is M2's cost (10,800-41,500 labels)","no for validation; yes for the continuous-vs-discontinuous Q_t diagnostic (writes nothing)","WEAKENED -> LEAD. Per-stratum rescue deletes the theorem's hypothesis and worsens identifiability; Q_t is one matrix per time step applied to every instance (ZERO anchors); anchor points read the miss rate where it is smallest (bias low); the diagnostic use would STAND if separated from training; STRUCTURAL-OR-IDENTIFIABILITY-ONLY","Nagaraj, Gerych, Tonekaboni, Goldenberg, Ustun & Hartvigsen 2025 ICLR","https://arxiv.org/abs/2402.04398"
"5 label-noise correction / PU learning","M8 structure + confidence filtering (kNN-graph purity, zeta-filtering; TopoFilter)","yes","fraction zeta of feature-space neighbours share the label; largest connected component per class; abstain-only (0->255, 1->255)","Theorem 1 purity guarantee for zeta > 1 + |tau_10 - tau_01|/2; measured purity 'approximately 85-95%' at 60% injected noise; noise assumed independent of x","a stratified panel to confirm abstentions concentrate on hard cells","yes - a few hundred stratified points; can only widen IGNORE, never fills","not adjudicated (finder label LEAD)","Wu, Zheng, Goswami, Metaxas & Chen 2020 NeurIPS; Bahri, Jiang & Gupta 2020 (abstract)","https://arxiv.org/abs/2012.04835"
"6 medical longitudinal imaging","M1 null-distribution change threshold calibrated on verified-unchanged tissue (LST longitudinal)","partial","normalised difference exceeds the alpha / 1-alpha quantile of its distribution over voxels 'segmented as WM but not as WML at both time points' for that same pair; the write operator updates 'no lesion' to 'lesion' (No->Yes only)","alpha ~ 0.1 by LOESS; external: 'Across all WMLs, voxel-wise DC was 0.7, lesion-wise detection rate (sensitivity) 0.8 and lesion-wise false-discovery rate 0.2' (new WMLs); repositioning zero produced by the 15 microlitre floor (3 pairs -> 63% exact upper bound); authors: 'the choice of alpha = 0.1 cannot be regarded valid in general'","verified-unchanged locations for the null (one interval; ~10^5-10^6 voxels per pair in the source vs <=1,170 points) + a verified-change set to tune alpha","partial - the no-change band is calibrable; the licence to write is not certifiable (0/42 -> 7.1%)","WEAKENED -> LEAD. Finder's 'never overwrites a cross-sectional label' is CONTRADICTED by Table 4: row 5 (Yes,No) with non-significant delta -> (Yes,Yes) is a laundered disappearance fired when the null is NOT exceeded; single anchor; 0.8 is new-WML sensitivity not preservation; MEASURED-RATE in the false-alarm direction, STRUCTURAL-ONLY for laundering; the calibrated no-change band survives","Schmidt et al. 2019 NeuroImage: Clinical 23:101849 (PMC6517532)","https://doi.org/10.1016/j.nicl.2019.101849"
"6 medical longitudinal imaging","M2 one-directional new/enlarged-only output + inter-rater-parity acceptance gate","yes","joint two-time-point input before thresholding; 3 mm / 0.01 ml minimum new-lesion size; the 'only label 3 was considered' sentence describes the COMPARATOR (LST), not the CNN","parity: 'a mean FP of 0.48 (CNN), 1.86 (LST) per case' vs inter-rater 0.41; sensitivity 0.60 vs 0.62; 'not significantly different' (Wilcoxon; reproduced z=1.01, p~0.31; MDD 0.194 FP/case)","two independent human raters on the same change candidates; a 20% tolerance at the project's event rate needs ~7,900 shared candidates; repointed at laundered losses ~270 events per arm","no - failure-to-reject presented as equivalence; 8-16x the budget","REFUTED. The one-directionality sentence is about the comparator's output reduced for scoring; decreases are outside output, annotation and metric, so 100% erasure of true decreases passes the gate; STRUCTURAL-ONLY for laundering; retain only as a citation for two independent raters scoring the same items","Krueger et al. 2020 NeuroImage: Clinical 28:102445 (PMC7554211)","https://doi.org/10.1016/j.nicl.2020.102445"
